number_id,date_time,epoch,loss_train,loss_validate,maps_train,maps_validate
5,2021-01-12 20:40:19.659956,0,9.726085611092028,12.420220474144081,"[0.0003395456005819142, 0.00011944638390559703, 3.689537334139459e-05, 9.867901098914444e-06, 1.803444547476829e-06, 5.964869274066587e-07, 9.232453379581784e-08, 1.2203114074793575e-08, 1.2416227768152766e-10, 0.0]","[0.0002346154797123745, 8.234434062615037e-05, 2.8266958906897344e-05, 7.335863301705103e-06, 1.2959128525835695e-06, 1.8443616056629253e-07, 9.4674934558725e-09, 9.4674934558725e-09, 0.0, 0.0]"
5,2021-01-12 20:49:15.690279,1,8.454663134360498,10.968685979966994,"[0.0008679672027938068, 0.0004316290724091232, 0.00015700279618613422, 4.830814941669814e-05, 1.3664510333910584e-05, 2.0191305338812526e-06, 2.7824330572912004e-07, 1.8158436532189626e-08, 7.048509553797544e-10, 0.0]","[0.000557904364541173, 0.0002383472165092826, 8.439622615696862e-05, 3.429213029448874e-05, 9.63446291279979e-06, 1.7732334072206868e-06, 2.835142254298262e-07, 2.8908647919934083e-08, 0.0, 0.0]"
5,2021-01-12 20:57:44.642070,2,8.118897036988606,10.528783500968636,"[0.0009897093987092376, 0.0005219212034717202, 0.0002326682151760906, 8.28081538202241e-05, 2.506642158550676e-05, 4.0746244849287905e-06, 4.0477840457242564e-07, 7.043585981136857e-08, 3.0703060094339207e-09, 5.518708823259999e-10]","[0.0007322682067751884, 0.00028927644598297775, 9.669781138654798e-05, 2.745928031799849e-05, 6.679633770545479e-06, 1.4812228528171545e-06, 1.3268110876651917e-07, 5.627079247005895e-09, 0.0, 0.0]"
5,2021-01-12 21:07:37.690344,3,7.5633739963058355,10.117139890596464,"[0.0013669166946783662, 0.0008625182090327144, 0.00046393051161430776, 0.0001836165029089898, 6.644915993092582e-05, 1.897064248623792e-05, 3.813760486082174e-06, 3.3990627912316995e-07, 6.138331798410945e-08, 1.1657773635320723e-09]","[0.001098752487450838, 0.000651978945825249, 0.00033253285801038146, 0.00012906512711197138, 4.353799158707261e-05, 1.0457246389705688e-05, 1.6891362975002266e-06, 4.806086550956934e-08, 1.8345250873963437e-09, 0.0]"
5,2021-01-12 21:17:29.908467,4,7.52387567083965,9.876342971603592,"[0.0017045162385329604, 0.0010101660154759884, 0.0005284344078972936, 0.0002195103297708556, 7.91327838669531e-05, 1.7519185348646715e-05, 3.0432245239353506e-06, 3.1311205361816974e-07, 5.9330734103468785e-08, 0.0]","[0.0012086208444088697, 0.0007184265996329486, 0.00037929994869045913, 0.00016456612502224743, 6.553873390657827e-05, 2.047304224106483e-05, 4.466810878511751e-06, 3.0672413942056664e-08, 2.621599604069047e-09, 0.0]"
5,2021-01-12 21:27:19.206461,5,7.331434719322264,9.707410546092245,"[0.0015914198011159897, 0.0009378988179378211, 0.0004967016284354031, 0.00023920228704810143, 9.910416702041402e-05, 3.584776277421042e-05, 9.176288585877046e-06, 1.2204602626297856e-06, 6.804343399835489e-08, 0.0]","[0.00107291538733989, 0.0006598383188247681, 0.00040741212433204055, 0.00022376221022568643, 0.00010650139302015305, 2.8360915166558698e-05, 8.938067367125768e-06, 2.0064749151060823e-06, 4.2107620856768335e-07, 0.0]"
5,2021-01-12 21:36:23.727039,6,7.1035141464351685,9.434890078259754,"[0.0029571063350886106, 0.0018853225046768785, 0.001089927856810391, 0.0005954604712314904, 0.0003088267694693059, 0.00012875933316536248, 4.507730045588687e-05, 1.1310645277262665e-05, 7.623578994753188e-07, 1.7770712679165968e-09]","[0.0018945276970043778, 0.0012003133306279778, 0.0006089153466746211, 0.0003497684374451637, 0.00022992040612734854, 0.00010468787513673306, 3.709795055328868e-05, 4.671679562306963e-06, 2.5085793708967685e-07, 0.0]"
5,2021-01-12 21:43:54.079319,7,6.885396395542825,9.214233280776384,"[0.004461656324565411, 0.003069717437028885, 0.0021120733581483364, 0.001345485681667924, 0.0007660935516469181, 0.0004353231634013355, 0.00019518173940014094, 7.194024510681629e-05, 8.060504114837386e-06, 3.185566015417862e-07]","[0.00428346823900938, 0.002877158811315894, 0.0020245688501745462, 0.001218132907524705, 0.000606730580329895, 0.00030281496583484113, 0.00015021667059045285, 3.848639607895166e-05, 1.4149372873362154e-05, 0.0]"
5,2021-01-12 21:51:29.152693,8,6.84854244261749,9.068248061390666,"[0.004567922092974186, 0.002858283231034875, 0.0016370270168408751, 0.0008250830578617752, 0.0003618646878749132, 0.0001462000363972038, 5.1643484766827896e-05, 4.24137670052005e-06, 2.2465280835604062e-07, 1.0744525269501537e-09]","[0.003670681966468692, 0.0024842065759003162, 0.0016776509582996368, 0.000777219538576901, 0.00035625448799692094, 0.00018777200602926314, 2.9296532375155948e-05, 1.6738584236009046e-05, 1.360012265649857e-05, 0.0]"
5,2021-01-12 21:58:49.770122,9,7.080846987953482,9.175946049876027,"[0.0034670326858758926, 0.0024147336371243, 0.0014589892234653234, 0.0007502682274207473, 0.0003812204231508076, 0.00012518319999799132, 3.298523370176554e-05, 5.441258053906495e-06, 5.69931387417455e-07, 3.2285103479523514e-09]","[0.003195781260728836, 0.0020755580626428127, 0.0013974817702546716, 0.0007362940232269466, 0.000455317844171077, 0.0002021540713030845, 6.207897968124598e-05, 2.895219950005412e-05, 1.5431650979280676e-07, 0.0]"
5,2021-01-12 22:07:05.683285,10,8.009755467259607,9.873591460190811,"[0.001638199551962316, 0.0009592321002855897, 0.0004979899968020618, 0.0002127925690729171, 7.381929754046723e-05, 2.2626361896982417e-05, 5.539362064155284e-06, 7.579002385682543e-07, 4.3910496572152624e-08, 2.309584967719047e-09]","[0.0008915684884414077, 0.0004558937216643244, 0.00021817130618728697, 9.122386836679652e-05, 3.987335003330372e-05, 1.25776978165959e-05, 1.66756422004255e-06, 2.588450342955184e-07, 8.54195114641243e-09, 1.815799399729201e-09]"
5,2021-01-12 22:15:52.689413,11,6.7899991597316065,9.010263455378546,"[0.003368718083947897, 0.002413454232737422, 0.0015189340338110924, 0.000813534832559526, 0.00036301458021625876, 0.00013829352974426, 4.0883023757487535e-05, 1.2913750651932787e-05, 3.6066601296624867e-06, 1.0749002576915245e-08]","[0.004022236447781324, 0.003125583054497838, 0.0021236841566860676, 0.0013133867178112268, 0.0007911428692750633, 0.0004643902648240328, 0.00014923865091986954, 6.994364866841352e-06, 7.959203003338189e-07, 0.0]"
5,2021-01-12 22:25:29.776079,12,6.633961483489635,8.749241674101198,"[0.00530939782038331, 0.0038526542484760284, 0.0024830810725688934, 0.0015104657504707575, 0.0008085969020612538, 0.0003118043241556734, 9.087567741516978e-05, 1.280371088796528e-05, 7.556168384326156e-07, 5.064778596519659e-10]","[0.006194549612700939, 0.00497500691562891, 0.003449806245043874, 0.002415973227471113, 0.0016874668654054403, 0.0006499267183244228, 0.00022992763842921704, 7.453475700458512e-05, 3.0659709864266915e-06, 0.0]"
5,2021-01-12 22:33:29.409632,13,6.525001647860505,8.641516927000763,"[0.006045864429324865, 0.004384948872029781, 0.0028950877021998167, 0.0015314870979636908, 0.0006900788866914809, 0.0002858074731193483, 8.30321223475039e-05, 1.0187313819187693e-05, 1.2506146731539047e-06, 2.219675998560433e-08]","[0.005359850358217955, 0.004317484796047211, 0.00325425760820508, 0.0022562136873602867, 0.0011880279053002596, 0.0005052514607086778, 0.0001655945525271818, 7.840445323381573e-05, 2.5965220629586838e-05, 0.0]"
